event_definition,variable_name,coding_system,event_code,tags,code_no_dot
Hypertension,V_HYPERTENSION_COV,RCD2,L123z,narrow,L123z
Hypertension,V_HYPERTENSION_COV,RCD2,G201.,narrow,G201
Hypertension,V_HYPERTENSION_COV,RCD2,G222.,narrow,G222
Hypertension,V_HYPERTENSION_COV,RCD2,J623.,narrow,J623
Hypertension,V_HYPERTENSION_COV,RCD2,F4211,narrow,F4211
Hypertension,V_HYPERTENSION_COV,RCD2,F4213,narrow,F4213
Hypertension,V_HYPERTENSION_COV,RCD2,Gyu20,narrow,Gyu20
Hypertension,V_HYPERTENSION_COV,RCD2,Gyu21,narrow,Gyu21
Obesity diagnosis,L_OBESITY_COV,ICD10,E66,narrow,E66
Obesity diagnosis,L_OBESITY_COV,ICD10,E65,exclude,E65
Obesity diagnosis,L_OBESITY_COV,ICD10CM,E66,narrow,E66
Obesity diagnosis,L_OBESITY_COV,ICD10CM,E65,exclude,E65
Obesity diagnosis,L_OBESITY_COV,ICD9CM,278,narrow,278
Obesity diagnosis,L_OBESITY_COV,ICD9CM,278.1,exclude,2781
Obesity diagnosis,L_OBESITY_COV,ICPC,T82,narrow,T82
Obesity diagnosis,L_OBESITY_COV,ICPC,T83,exclude,T83
Obesity diagnosis,L_OBESITY_COV,ICPC2P,T82005,narrow,T82005
Depression,Ment_DEPRESSION_COV,MEDCODEID,12059201000006117,narrow,12059201000006117
Depression,Ment_DEPRESSION_COV,MEDCODEID,12127531000006113,narrow,12127531000006113
Depression,Ment_DEPRESSION_COV,MEDCODEID,12127541000006115,narrow,12127541000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,12127551000006118,narrow,12127551000006118
Depression,Ment_DEPRESSION_COV,MEDCODEID,12127561000006116,narrow,12127561000006116
Depression,Ment_DEPRESSION_COV,MEDCODEID,12127571000006111,narrow,12127571000006111
Depression,Ment_DEPRESSION_COV,MEDCODEID,1222477019,narrow,1222477019
Depression,Ment_DEPRESSION_COV,MEDCODEID,1227584015,narrow,1227584015
Depression,Ment_DEPRESSION_COV,MEDCODEID,1231868010,narrow,1231868010
Depression,Ment_DEPRESSION_COV,MEDCODEID,12626331000006116,narrow,12626331000006116
Depression,Ment_DEPRESSION_COV,MEDCODEID,12727931000006110,narrow,12727931000006110
Depression,Ment_DEPRESSION_COV,MEDCODEID,12734331000006115,narrow,12734331000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,12735821000006110,narrow,12735821000006110
Depression,Ment_DEPRESSION_COV,MEDCODEID,138421012,narrow,138421012
Depression,Ment_DEPRESSION_COV,MEDCODEID,13902421000006110,narrow,13902421000006110
Depression,Ment_DEPRESSION_COV,MEDCODEID,13962531000006113,narrow,13962531000006113
Depression,Ment_DEPRESSION_COV,MEDCODEID,13974501000006115,narrow,13974501000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,142521000006110,narrow,142521000006110
Depression,Ment_DEPRESSION_COV,MEDCODEID,142541000006115,narrow,142541000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,1488771018,narrow,1488771018
Depression,Ment_DEPRESSION_COV,MEDCODEID,1494612017,narrow,1494612017
Depression,Ment_DEPRESSION_COV,MEDCODEID,1650771000000113,narrow,1650771000000113
Depression,Ment_DEPRESSION_COV,MEDCODEID,1655891000000114,narrow,1655891000000114
Depression,Ment_DEPRESSION_COV,MEDCODEID,1680571000006118,narrow,1680571000006118
Depression,Ment_DEPRESSION_COV,MEDCODEID,1715181000006114,narrow,1715181000006114
Depression,Ment_DEPRESSION_COV,MEDCODEID,1715191000006112,narrow,1715191000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,1715771000006112,narrow,1715771000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,1715781000006110,narrow,1715781000006110
Depression,Ment_DEPRESSION_COV,MEDCODEID,1755901000006112,narrow,1755901000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,1755911000006110,narrow,1755911000006110
Depression,Ment_DEPRESSION_COV,MEDCODEID,1773563015,narrow,1773563015
Depression,Ment_DEPRESSION_COV,MEDCODEID,1780205015,narrow,1780205015
Depression,Ment_DEPRESSION_COV,MEDCODEID,1785881000006119,narrow,1785881000006119
Depression,Ment_DEPRESSION_COV,MEDCODEID,1823881000006110,narrow,1823881000006110
Depression,Ment_DEPRESSION_COV,MEDCODEID,182721000006111,narrow,182721000006111
Depression,Ment_DEPRESSION_COV,MEDCODEID,182771000006112,narrow,182771000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,182801000006114,narrow,182801000006114
Depression,Ment_DEPRESSION_COV,MEDCODEID,1839551000006116,narrow,1839551000006116
Depression,Ment_DEPRESSION_COV,MEDCODEID,1839561000006119,narrow,1839561000006119
Depression,Ment_DEPRESSION_COV,MEDCODEID,1839571000006114,narrow,1839571000006114
Depression,Ment_DEPRESSION_COV,MEDCODEID,1839581000006112,narrow,1839581000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,1956431000006111,narrow,1956431000006111
Depression,Ment_DEPRESSION_COV,MEDCODEID,1956441000006118,narrow,1956441000006118
Depression,Ment_DEPRESSION_COV,MEDCODEID,1956481000006112,narrow,1956481000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,1956501000006119,narrow,1956501000006119
Depression,Ment_DEPRESSION_COV,MEDCODEID,1956531000006110,narrow,1956531000006110
Depression,Ment_DEPRESSION_COV,MEDCODEID,1956561000006118,narrow,1956561000006118
Depression,Ment_DEPRESSION_COV,MEDCODEID,1956571000006113,narrow,1956571000006113
Depression,Ment_DEPRESSION_COV,MEDCODEID,1956581000006111,narrow,1956581000006111
Depression,Ment_DEPRESSION_COV,MEDCODEID,1956591000006114,narrow,1956591000006114
Depression,Ment_DEPRESSION_COV,MEDCODEID,1956601000006118,narrow,1956601000006118
Depression,Ment_DEPRESSION_COV,MEDCODEID,1956621000006111,narrow,1956621000006111
Depression,Ment_DEPRESSION_COV,MEDCODEID,1971571000006118,narrow,1971571000006118
Depression,Ment_DEPRESSION_COV,MEDCODEID,1972071000006118,narrow,1972071000006118
Depression,Ment_DEPRESSION_COV,MEDCODEID,1972111000006114,narrow,1972111000006114
Depression,Ment_DEPRESSION_COV,MEDCODEID,1972131000006115,narrow,1972131000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,1972201000006118,narrow,1972201000006118
Depression,Ment_DEPRESSION_COV,MEDCODEID,1972311000006112,narrow,1972311000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,1972331000006118,narrow,1972331000006118
Depression,Ment_DEPRESSION_COV,MEDCODEID,1972451000006118,narrow,1972451000006118
Depression,Ment_DEPRESSION_COV,MEDCODEID,1972661000006119,narrow,1972661000006119
Depression,Ment_DEPRESSION_COV,MEDCODEID,1972911000006111,narrow,1972911000006111
Depression,Ment_DEPRESSION_COV,MEDCODEID,1972941000006110,narrow,1972941000006110
Depression,Ment_DEPRESSION_COV,MEDCODEID,1973041000006115,narrow,1973041000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,1973111000006115,narrow,1973111000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,1973381000006112,narrow,1973381000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,1973731000006110,narrow,1973731000006110
Depression,Ment_DEPRESSION_COV,MEDCODEID,1973961000006115,narrow,1973961000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,1974761000006115,narrow,1974761000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,1975191000006114,narrow,1975191000006114
Depression,Ment_DEPRESSION_COV,MEDCODEID,1975211000006110,narrow,1975211000006110
Depression,Ment_DEPRESSION_COV,MEDCODEID,1975231000006116,narrow,1975231000006116
Depression,Ment_DEPRESSION_COV,MEDCODEID,1975261000006113,narrow,1975261000006113
Depression,Ment_DEPRESSION_COV,MEDCODEID,1975281000006115,narrow,1975281000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,1975301000006116,narrow,1975301000006116
Depression,Ment_DEPRESSION_COV,MEDCODEID,1975321000006114,narrow,1975321000006114
Depression,Ment_DEPRESSION_COV,MEDCODEID,1975371000006110,narrow,1975371000006110
Depression,Ment_DEPRESSION_COV,MEDCODEID,1975651000006114,narrow,1975651000006114
Depression,Ment_DEPRESSION_COV,MEDCODEID,1975981000006114,narrow,1975981000006114
Depression,Ment_DEPRESSION_COV,MEDCODEID,1975991000006112,narrow,1975991000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,1976021000006115,narrow,1976021000006115
